Date;Market;Size;Value;Momentum;Investment;Profitability;Low volatility
01.02.2000;1,54%;4,43%;-6,73%;19,15%;5,36%;0,53%;-25,99%
01.03.2000;6,85%;-3,42%;-0,18%;-4,68%;0,34%;1,38%;13,15%
01.04.2000;-3,96%;-1,80%;3,59%;-10,97%;0,64%;-2,30%;15,92%
01.05.2000;-2,21%;-1,70%;1,62%;-8,32%;1,36%;-3,57%;13,66%
01.06.2000;1,99%;2,51%;-4,62%;15,92%;1,74%;0,43%;-12,64%
01.07.2000;-0,77%;-0,25%;4,52%;-6,16%;2,01%;-2,74%;6,76%
01.08.2000;7,67%;-0,52%;-4,32%;7,72%;-0,74%;0,40%;-4,24%
01.09.2000;-3,33%;-0,33%;6,16%;-0,95%;3,67%;-4,37%;10,47%
01.10.2000;-2,06%;-2,02%;4,54%;-3,49%;3,03%;-0,72%;9,67%
01.11.2000;-9,90%;-0,10%;11,35%;-6,58%;5,58%;-3,47%;19,58%
01.12.2000;4,10%;-1,43%;4,11%;4,45%;2,17%;-3,16%;10,79%
01.01.2001;3,09%;7,90%;-8,78%;-19,17%;-5,82%;8,07%;-26,68%
01.02.2001;-9,15%;1,22%;13,78%;5,64%;6,12%;-3,09%;18,27%
01.03.2001;-6,83%;0,51%;9,88%;6,28%;4,58%;-2,63%;11,26%
01.04.2001;7,73%;-0,12%;-7,64%;-4,27%;-5,78%;3,26%;-6,65%
01.05.2001;1,08%;2,99%;3,49%;0,39%;1,55%;-1,26%;1,48%
01.06.2001;-2,04%;2,68%;0,27%;1,14%;0,49%;1,22%;2,93%
01.07.2001;-1,59%;-0,35%;4,52%;5,65%;5,55%;-0,92%;7,92%
01.08.2001;-5,43%;1,27%;3,98%;4,22%;5,19%;-0,87%;6,70%
01.09.2001;-10,49%;-2,20%;2,69%;10,36%;5,86%;-5,11%;10,93%
01.10.2001;2,83%;3,14%;-6,19%;-7,14%;-5,84%;7,71%;-11,04%
01.11.2001;8,35%;0,06%;-2,39%;-7,27%;-3,98%;5,11%;-7,86%
01.12.2001;2,35%;3,11%;1,64%;-2,79%;-0,41%;1,31%;-4,39%
01.01.2002;-0,91%;0,95%;6,33%;3,51%;4,67%;1,17%;2,89%
01.02.2002;-2,32%;-0,83%;2,86%;4,30%;4,85%;-2,02%;10,89%
01.03.2002;5,64%;1,85%;1,33%;-0,62%;-1,34%;2,32%;-4,64%
01.04.2002;-3,89%;2,67%;6,43%;3,01%;4,32%;0,12%;7,69%
01.05.2002;-1,43%;-0,98%;3,40%;4,26%;3,48%;-0,31%;4,84%
01.06.2002;-7,06%;1,18%;4,49%;6,19%;4,28%;-2,67%;7,72%
01.07.2002;-8,70%;-2,47%;1,26%;3,72%;-0,08%;-2,98%;6,19%
01.08.2002;0,49%;-0,64%;-1,74%;2,21%;-0,56%;0,94%;2,38%
01.09.2002;-9,87%;1,12%;1,53%;6,26%;-1,54%;-0,56%;7,28%
01.10.2002;6,90%;-1,55%;-5,01%;-3,02%;1,58%;1,50%;-6,36%
01.11.2002;6,37%;3,22%;-3,55%;-15,18%;4,75%;0,37%;-19,48%
01.12.2002;-5,30%;0,53%;3,53%;7,62%;-2,04%;-0,61%;9,38%
01.01.2003;-2,57%;0,69%;1,04%;0,97%;0,19%;-0,99%;-0,03%
01.02.2003;-2,04%;-0,34%;0,15%;2,16%;0,17%;-1,29%;1,86%
01.03.2003;0,61%;0,28%;-0,82%;1,51%;0,19%;0,25%;-0,15%
01.04.2003;8,25%;0,97%;-0,92%;-5,94%;1,19%;0,62%;-8,06%
01.05.2003;7,50%;2,86%;-0,77%;-8,79%;4,38%;-3,18%;-11,58%
01.06.2003;1,38%;1,46%;0,53%;-1,14%;0,58%;2,45%;-3,01%
01.07.2003;2,76%;2,82%;0,25%;1,54%;3,27%;1,43%;-4,54%
01.08.2003;2,99%;1,24%;1,31%;0,43%;0,72%;1,00%;-2,75%
01.09.2003;-1,69%;1,59%;2,88%;1,07%;3,30%;-2,89%;-2,40%
01.10.2003;7,02%;1,09%;2,72%;4,06%;1,86%;2,44%;-3,50%
01.11.2003;1,81%;1,46%;2,38%;1,86%;1,33%;0,58%;-1,23%
